Cohort,Treatment,Biomarkers,Gene,Event,Association,Measurement,Evidence,Protein,Function,Database,Citations
Pan-Cancer,Targeted therapy,PIK3CA mutation,PIK3CA,Mutation,Response,"NGS, PCR",Medium,Kinase,Activates PI3K pathway; predicts response to PI3K inhibitors,"TCGA, COSMIC",https://pubmed.ncbi.nlm.nih.gov/34373099/
Pan-Cancer,Targeted therapy,PTEN loss,PTEN,Deletion/Mutation,Non-response,"IHC, NGS",Medium,Phosphatase,Loss activates PI3K/AKT; associated with resistance to targeted therapies,"TCGA, COSMIC",https://pubmed.ncbi.nlm.nih.gov/34373099/
Pan-Cancer,Targeted therapy,FGFR2/3 fusion,FGFR2/3,Gene rearrangement,Response,"NGS, FISH",Medium,Receptor tyrosine kinase,Constitutive kinase activity; predicts response to FGFR inhibitors,"TCGA, COSMIC",https://pubmed.ncbi.nlm.nih.gov/34373099/
Pan-Cancer,Taxane,MAPT (Tau),MAPT,Expression,Non-response,"IHC, RNA-seq",Medium,Microtubule-associated,"High expression stabilizes microtubules, reducing taxane efficacy","TCGA, GEO",https://www.mdpi.com/2072-6694/13/16/4055
Pan-Cancer,Taxane,ERCC1,ERCC1,Expression,Non-response,"RNA-seq, IHC",Medium,DNA repair enzyme,High expression linked to resistance via enhanced DNA repair,"TCGA, GEO",https://www.mdpi.com/2072-6694/13/16/4055
Pan-Cancer,Taxane,CYP3A4,CYP3A4,Expression,Non-response,"RNA-seq, PCR",Medium,Enzyme (P450),"Metabolizes taxanes, reducing drug efficacy","TCGA, GEO",https://www.mdpi.com/2072-6694/13/16/4055
Pan-Cancer,Taxane,STMN1 (Stathmin),STMN1,Expression,Non-response,"IHC, RNA-seq",Medium,Microtubule regulator,"Overexpression destabilizes microtubules, conferring resistance","TCGA, GEO",https://www.mdpi.com/2072-6694/13/16/4055
Pan-Cancer,Taxane,BCL2,BCL2,Expression,Non-response,"IHC, RNA-seq",Medium,Anti-apoptotic protein,"High expression inhibits apoptosis, reducing taxane-induced cell death","TCGA, GEO",https://www.mdpi.com/2072-6694/13/16/4055
Pan-Cancer,Taxane,AR (Androgen Receptor),AR,Amplification,Non-response,"IHC, PCR",Medium,Nuclear receptor,Overexpression linked to taxane resistance in prostate cancer,"TCGA, COSMIC",https://www.mdpi.com/2072-6694/13/16/4055
Pan-Cancer,Taxane,PIK3CA,PIK3CA,Mutation,Non-response,"Somatic Mutation, PCR",Medium,Kinase,Activating mutations linked to resistance via PI3K pathway,"TCGA, COSMIC",https://www.mdpi.com/2072-6694/13/16/4055
Pan-Cancer,Taxane,PTEN,PTEN,Deletion,Non-response,"Somatic Mutation, PCR",Medium,Tumor suppressor,Loss leads to PI3K pathway activation and taxane resistance,"TCGA, COSMIC",https://www.mdpi.com/2072-6694/13/16/4055
Pan-Cancer,Taxane,FOXM1,FOXM1,Expression,Non-response,"RNA-seq, IHC",Medium,Transcription factor,Overexpression promotes cell cycle progression and resistance,"TCGA, GEO",https://www.mdpi.com/2072-6694/13/16/4055
Pancreas PAAD,Chemotherapy,CA125,MUC16,Overexpression,Response,Serum ELISA,Medium,Glycoprotein,Tumor marker; decrease may indicate response,"TCGA, GEO",https://tcr.amegroups.org/article/view/18840/14924
Pancreas PAAD,Chemotherapy,ctDNA (TP53),TP53,Mutation,Non-response,"Liquid biopsy, PCR, NGS",Medium,Transcription factor,Mutant ctDNA associated with resistance,"TCGA, COSMIC",https://www.frontiersin.org/journals/surgery/articles/10.3389/fsurg.2022.866173/full
Pancreas PAAD,Chemotherapy,ctDNA (SMAD4),SMAD4,Mutation/Deletion,Non-response,"Liquid biopsy, PCR, NGS",Medium,Signal transducer,Loss linked to poor chemo response,"TCGA, COSMIC",https://www.frontiersin.org/journals/surgery/articles/10.3389/fsurg.2022.866173/full
Pancreas PAAD,Chemotherapy,CD3+ T cells,CD3E,Infiltration,Response,"IHC, mRNA-seq",Medium,Immune receptor,High infiltration predicts better chemo response,"TCGA, GEO",https://www.precisionmedicineonline.com/precision-oncology/immune-biomarkers-could-predict-first-line-chemo-response-pancreatic-cancer
Pancreas PAAD,Chemotherapy,CD8+ T cells,CD8A,Infiltration,Response,"IHC, mRNA-seq",Medium,Immune receptor,High infiltration linked to improved response,"TCGA, GEO",https://www.precisionmedicineonline.com/precision-oncology/immune-biomarkers-could-predict-first-line-chemo-response-pancreatic-cancer
Pancreas PAAD,Chemotherapy,MUC1,MUC1,Overexpression,Non-response,"IHC, RNA-seq",Medium,Glycoprotein,Overexpression linked to chemoresistance,"TCGA, GEO",https://pmc.ncbi.nlm.nih.gov/articles/PMC10293428/
Pancreas PAAD,Chemotherapy,RRM1,RRM1,Overexpression,Non-response,"IHC, RNA-seq",Medium,Enzyme,High levels linked to gemcitabine resistance,"TCGA, GEO",https://pmc.ncbi.nlm.nih.gov/articles/PMC10293428/
Pancreas PAAD,Chemotherapy,SPARC,SPARC,Overexpression,Response,"IHC, RNA-seq",Medium,Glycoprotein,High stromal SPARC may predict response to nab-paclitaxel,"TCGA, GEO",https://pmc.ncbi.nlm.nih.gov/articles/PMC10293428/
Pancreas PAAD,Chemotherapy,GATA6,GATA6,Overexpression,Response,"RNA-seq, IHC",Medium,Transcription factor,Classical subtype (GATA6 high) more chemo-sensitive,"TCGA, GEO",https://pmc.ncbi.nlm.nih.gov/articles/PMC10293428/
Pancreas PAAD,Folinic acid,hENT1,SLC29A1,Expression,Response,"IHC, RNA-seq",Medium,Transporter,"Nucleoside transporter, predicts response to nucleoside analogs","TCGA, COSMIC",https://pmc.ncbi.nlm.nih.gov/articles/PMC6478006/
Pancreas PAAD,Folinic acid,hCNT3,SLC28A3,Expression,Response,"IHC, RNA-seq",Medium,Transporter,"Nucleoside transporter, higher expression linked to better survival","TCGA, COSMIC",https://pmc.ncbi.nlm.nih.gov/articles/PMC6478006/
Pancreas PAAD,Folinic acid,CES2,CES2,Expression,Response,"IHC, RNA-seq",Medium,Enzyme,"Carboxylesterase, activates irinotecan, higher expression linked to better OS","TCGA, GEO",https://pmc.ncbi.nlm.nih.gov/articles/PMC6478006/
Pancreas PAAD,Folinic acid,Basal-like Subtype,Multiple,Expression,Non-response,"RNA-seq, Organoid profiling",Medium,Transcriptional,Basal-like tumors show resistance to FOLFIRINOX/5-FU,TCGA,https://www.frontiersin.org/journals/surgery/articles/10.3389/fsurg.2022.866173/full
Pancreas PAAD,Folinic acid,Neutropenia,N/A,Treatment effect,Response,CBC (blood count),Medium,N/A,Development of neutropenia during therapy linked to better outcomes,Clinical datasets,https://ascopubs.org/doi/10.1200/JCO.2025.43.4_suppl.762
Pancreas PAAD,Folinic acid,FFX-ΔGEP,Multiple,Expression,Non-response,Circulating RNA (PCR),Medium,Multigene signature,Early circulating multigene biomarker predicts lack of FOLFIRINOX response,"GEO, TCGA",https://pubmed.ncbi.nlm.nih.gov/36652890/
Pancreas PAAD,Folinic acid,SMAD4 Loss,SMAD4,Deletion,Non-response,"IHC, NGS",Medium,Signal transducer,Loss associated with poor prognosis and resistance,"TCGA, COSMIC",https://pmc.ncbi.nlm.nih.gov/articles/PMC6478006/
Pancreas PAAD,Folinic acid,BRCA1/2 Mutation,BRCA1/2,Mutation,Response,"PCR, NGS",Medium,DNA repair enzyme,Deficiency may sensitize to platinum-based therapies in FOLFIRINOX,"TCGA, COSMIC",https://pmc.ncbi.nlm.nih.gov/articles/PMC6478006/
Pancreas PAAD,Folinic acid,ERCC1,ERCC1,Expression,Non-response,"IHC, RNA-seq",Medium,DNA repair enzyme,High expression linked to resistance to platinum agents,"TCGA, GEO",https://pmc.ncbi.nlm.nih.gov/articles/PMC6478006/
Prostate,Anti-AR,AR T877A Mutation,AR,Mutation,Non-response,"NGS, Sanger sequencing",Medium,Nuclear receptor,"Alters ligand specificity, enabling AR activation by other steroids","COSMIC, TCGA",https://www.frontiersin.org/journals/oncology/articles/10.3389/fonc.2025.1542811/full
Prostate,Anti-AR,TP53 Mutation,TP53,Mutation,Non-response,"NGS, Sanger sequencing",Medium,Transcription factor,"Loss of tumor suppressor function, associated with aggressive disease","TCGA, COSMIC",https://www.mdpi.com/2072-6694/13/22/5723
Prostate,Anti-AR,RB1 Loss,RB1,Deletion/Mutation,Non-response,"IHC, NGS",Medium,Tumor suppressor,Loss promotes lineage plasticity and AR-independence,"TCGA, COSMIC",https://www.mdpi.com/2072-6694/13/22/5723
Prostate,Anti-AR,MYC Overexpression,MYC,Amplification,Non-response,"RNA-seq, IHC",Medium,Transcription factor,"Drives proliferation, associated with AR therapy resistance","TCGA, GEO",https://www.jci.org/articles/view/165357
Prostate,Anti-AR,SPOP Mutation,SPOP,Mutation,Response,"NGS, Sanger sequencing",Medium,E3 ubiquitin ligase,Sensitizes to AR-targeted therapy by affecting AR degradation,"TCGA, COSMIC",https://www.mdpi.com/2072-6694/13/22/5723
Prostate,Anti-AR,TMPRSS2-ERG Fusion,"TMPRSS2, ERG",Gene fusion,Variable,"FISH, RT-PCR",Medium,Transcription factor,Alters AR signaling; impact on response is context-dependent,"TCGA, COSMIC",https://www.mdpi.com/2072-6694/13/22/5723
Prostate,Anti-AR,AKT1 Activation,AKT1,Mutation/Activation,Non-response,"IHC, NGS",Medium,Kinase,Promotes survival pathways independent of AR,"TCGA, COSMIC",https://pmc.ncbi.nlm.nih.gov/articles/PMC9319825/
Prostate,Chemotherapy,cfDNA,Multiple,Somatic Mutations,Non-response,Blood-based NGS,Medium,N/A (DNA marker),High cfDNA levels linked to poor prognosis and therapy resistance,"TCGA, GEO",https://pmc.ncbi.nlm.nih.gov/articles/PMC5524249/
Prostate,Chemotherapy,ALDH1A1,ALDH1A1,Overexpression,Non-response,"IHC, RNA-seq",Medium,Enzyme,"Cancer stem cell marker, linked to chemoresistance","GEO, TCGA","https://pmc.ncbi.nlm.nih.gov/articles/PMC10649216/, https://www.mdpi.com/2072-6694/13/22/5723"
Prostate,Chemotherapy,VEGF,VEGFA,Overexpression,Non-response,"ELISA, IHC",Medium,Growth factor,"Promotes angiogenesis, linked to resistance to chemotherapy","GEO, TCGA",https://journals.sagepub.com/doi/10.1177/15330338241290029
Prostate,Chemotherapy,IL-6,IL6,Overexpression,Non-response,"ELISA, IHC",Medium,Cytokine,"Inflammatory mediator, high levels linked to poor chemo response","GEO, TCGA",https://journals.sagepub.com/doi/10.1177/15330338241290029
Prostate,Chemotherapy,TNF-α,TNF,Overexpression,Non-response,"ELISA, IHC",Medium,Cytokine,"Pro-inflammatory, associated with aggressive and resistant disease","GEO, TCGA",https://journals.sagepub.com/doi/10.1177/15330338241290029
Prostate,Chemotherapy,Osteopontin,SPP1,Overexpression,Non-response,"ELISA, IHC",Medium,Glycoprotein,"Promotes metastasis, linked to chemoresistance","GEO, TCGA",https://journals.sagepub.com/doi/10.1177/15330338241290029
Prostate,Hormonal therapy,ETS-related gene fusion (ERG),ERG,Gene fusion,Non-response,"FISH, RT-PCR, NGS",Medium,Transcription factor,ERG fusion status associated with resistance to some hormonal therapies.,"TCGA, COSMIC",https://www.mdpi.com/1718-7729/29/7/400
Prostate,Hormonal therapy,SPOP Mutation,SPOP,Mutation,Response,"NGS, PCR",Medium,E3 ubiquitin ligase,SPOP mutations sensitize tumors to AR-targeted therapy.,"TCGA, COSMIC",https://pmc.ncbi.nlm.nih.gov/articles/PMC8616385/
Prostate,Hormonal therapy,BRCA2 Mutation,BRCA2,Mutation,Non-response,"NGS, PCR",Medium,DNA repair enzyme,BRCA2 mutations associated with aggressive disease and poor hormonal response.,"TCGA, COSMIC",https://pmc.ncbi.nlm.nih.gov/articles/PMC8616385/
Prostate,Hormonal therapy,CHD1 Deletion,CHD1,Deletion,Response,"FISH, NGS",Medium,Chromatin remodeler,CHD1 loss may sensitize to AR-targeted therapy.,"TCGA, COSMIC",https://pmc.ncbi.nlm.nih.gov/articles/PMC8616385/
Prostate,Hormonal therapy,FOXA1 Mutation,FOXA1,Mutation,Non-response,"NGS, PCR",Medium,Transcription factor,FOXA1 mutations can drive resistance to hormonal therapy.,"TCGA, COSMIC",https://pmc.ncbi.nlm.nih.gov/articles/PMC8616385/
Prostate,Taxane,TLE3,TLE3,Expression loss,Non-response,"IHC, RNA-seq",Medium,Transcriptional corepressor,Loss of TLE3 associated with poor taxane response,"TCGA, GEO",https://www.carislifesciences.com/research/publications/taxane-sensitivity-markers-in-prostate-cancer/
Prostate,Taxane,TMPRSS2–ERG fusion,"TMPRSS2, ERG",Genomic rearrangement,Response,"FISH, PCR, NGS",Medium,Transcription factor,Fusion-positive tumors show better response to taxanes,"TCGA, COSMIC",https://pmc.ncbi.nlm.nih.gov/articles/PMC11564108/
Prostate,Taxane,MAPT (Tau),MAPT,Overexpression,Non-response,"IHC, RNA-seq",Medium,Microtubule-associated protein,High tau expression confers resistance by stabilizing microtubules,"TCGA, GEO",https://pmc.ncbi.nlm.nih.gov/articles/PMC7259995/
Prostate,Taxane,BCL2,BCL2,Overexpression,Non-response,"IHC, RNA-seq",Medium,Anti-apoptotic protein,"High BCL2 inhibits apoptosis, reducing taxane efficacy","TCGA, COSMIC",https://pmc.ncbi.nlm.nih.gov/articles/PMC7259995/
Prostate,Taxane,AKT1,AKT1,Amplification,Non-response,"RNA-seq, PCR",Medium,Kinase,"AKT1 activation promotes survival, reducing taxane sensitivity","TCGA, COSMIC",https://pmc.ncbi.nlm.nih.gov/articles/PMC7259995/
Prostate,Taxane,BRCA2,BRCA2,"Mutation, Deletion",Response,"NGS, PCR",Medium,DNA repair protein,BRCA2 loss may sensitize to taxanes via impaired DNA repair,"TCGA, COSMIC",https://pmc.ncbi.nlm.nih.gov/articles/PMC7259995/
Skin Melanoma,Anti-PD-1,B2M,B2M,"Mutation, Deletion",Non-response,Somatic mutation analysis,Medium,MHC class I component,"Loss impairs antigen presentation, leading to immune escape","TCGA, COSMIC",https://pmc.ncbi.nlm.nih.gov/articles/PMC6058029/
Skin Melanoma,Anti-PD-1,JAK1,JAK1,"Mutation, Disruption",Non-response,Somatic mutation analysis,Medium,Tyrosine kinase,"Mutations disrupt IFN-γ signaling, reducing immune response","TCGA, COSMIC",https://pmc.ncbi.nlm.nih.gov/articles/PMC6058029/
Skin Melanoma,Anti-PD-1,JAK2,JAK2,"Mutation, Disruption",Non-response,Somatic mutation analysis,Medium,Tyrosine kinase,"Similar to JAK1, disrupts IFN-γ pathway","TCGA, COSMIC",https://pmc.ncbi.nlm.nih.gov/articles/PMC6058029/
Skin Melanoma,Anti-PD-1,PTEN,PTEN,"Deletion, Mutation",Non-response,Somatic mutation analysis,Medium,Phosphatase,Loss leads to immune resistance via PI3K/AKT pathway activation,"TCGA, COSMIC",https://pmc.ncbi.nlm.nih.gov/articles/PMC6058029/
Skin Melanoma,Anti-PD-1,NRAS,NRAS,Mutation,Non-response,Somatic mutation analysis,Medium,GTPase,"Activates MAPK pathway, associated with resistance","TCGA, COSMIC",https://jitc.bmj.com/content/10/7/e004879
Skin Melanoma,Anti-PD-1,WNT/β-catenin Pathway,CTNNB1,"Mutation, Activation",Non-response,"RNA-seq, mutation analysis",Medium,Transcription co-activator,"Activation excludes T cell infiltration, leading to resistance","TCGA, COSMIC",https://jitc.bmj.com/content/10/7/e004879
Skin Melanoma,Anti-PD-1,IFN-γ Signature,Multiple,Expression,Response,RNA-seq,Medium,Cytokine,Indicates active immune microenvironment,"TCGA, GEO","https://pmc.ncbi.nlm.nih.gov/articles/PMC6058029/, https://jitc.bmj.com/content/10/7/e004879"
Skin Melanoma,Anti-PD-1,LAG-3,LAG3,Expression,Non-response,"IHC, RNA-seq",Medium,Immune checkpoint,"Co-inhibitory receptor, upregulation linked to resistance","TCGA, COSMIC",https://pmc.ncbi.nlm.nih.gov/articles/PMC6058029/
Skin Melanoma,Anti-PD-1,TIM-3,HAVCR2,Expression,Non-response,"IHC, RNA-seq",Medium,Immune checkpoint,Upregulation associated with T cell exhaustion and resistance,"TCGA, COSMIC",https://pmc.ncbi.nlm.nih.gov/articles/PMC6058029/
Skin Melanoma,Anti-PD-1,MHC Class I,HLA-A/B/C,"Deletion, Downregulation",Non-response,"IHC, RNA-seq",Medium,Antigen-presenting,"Loss impairs antigen presentation, leading to immune escape","TCGA, COSMIC",https://pmc.ncbi.nlm.nih.gov/articles/PMC6058029/
Skin Melanoma,Anti-PD-1,T cell inflamed gene expression profile (Tcell infGEP),Multiple,Expression,Response,RNA-seq,Medium,Multiple,Reflects immune-active tumor microenvironment,"TCGA, GEO",https://jitc.bmj.com/content/10/7/e004879
Skin Melanoma,Immunotherapy,PD-1,PDCD1,Expression,Response,"IHC, RNA-seq",Medium,Immune checkpoint receptor,Marker of T-cell exhaustion; high levels on TILs linked to response,"TCGA, GEO","https://pmc.ncbi.nlm.nih.gov/articles/PMC8070445/, https://www.curemelanoma.org/blog/how-biomarkers-are-used-in-melanoma"
Skin Melanoma,Immunotherapy,CTLA-4,CTLA4,Expression,Response,"IHC, RNA-seq",Medium,Immune checkpoint receptor,Regulates T-cell activation; target of ipilimumab,"TCGA, GEO","https://pmc.ncbi.nlm.nih.gov/articles/PMC8070445/, https://pmc.ncbi.nlm.nih.gov/articles/PMC6058029/"
Skin Melanoma,Immunotherapy,TERT Promoter,TERT,Mutation,Non-response,"PCR, NGS",Medium,Reverse transcriptase,Associated with poor prognosis and resistance to immunotherapy,"TCGA, COSMIC",https://pmc.ncbi.nlm.nih.gov/articles/PMC6058029/
Skin Melanoma,Immunotherapy,LAG-3,LAG3,Expression,Non-response,"IHC, RNA-seq",Medium,Immune checkpoint receptor,Marker of T-cell exhaustion; high expression linked to resistance,"TCGA, GEO",https://www.mdpi.com/1422-0067/24/1/41
Skin Melanoma,Immunotherapy,MDSCs (CD14+),CD14,Expansion,Non-response,Flow cytometry,Medium,Surface glycoprotein,"Suppress T-cell function, associated with poor response","TCGA, GEO",https://pmc.ncbi.nlm.nih.gov/articles/PMC6058029/
Skin Melanoma,Immunotherapy,FOXP3+ Tregs,FOXP3,Infiltration,Non-response,"IHC, Flow cytometry",Medium,Transcription factor,Regulatory T cells suppress anti-tumor immunity,"TCGA, GEO","https://pmc.ncbi.nlm.nih.gov/articles/PMC8070445/, https://pmc.ncbi.nlm.nih.gov/articles/PMC6058029/"
Skin Melanoma,Immunotherapy,Beta-2-microglobulin,B2M,Mutation/Deletion,Non-response,"NGS, PCR",Medium,MHC class I component,"Loss impairs antigen presentation, leading to immune escape","TCGA, COSMIC",https://pmc.ncbi.nlm.nih.gov/articles/PMC8070445/
Skin Melanoma,Immunotherapy,IFN-γ Signature,IFNG,Expression,Response,"RNA-seq, qPCR",Medium,Cytokine,Indicates active anti-tumor immune response,"TCGA, GEO","https://pmc.ncbi.nlm.nih.gov/articles/PMC8070445/, https://www.mdpi.com/1422-0067/24/1/41"
Unknown primary (e.g. CUP),Chemotherapy,CDKN2A,CDKN2A,Deletion,Non-response,"NGS, FISH",Medium,Tumor suppressor,"Loss promotes cell cycle progression, linked to poor response","TCGA, COSMIC",https://ascopubs.org/doi/10.1200/OA-24-00041
Unknown primary (e.g. CUP),Chemotherapy,PIK3CA,PIK3CA,Mutation,Non-response,"NGS, PCR",Medium,Enzyme (kinase),"Activates PI3K/AKT pathway, associated with resistance to therapy","TCGA, COSMIC",https://ascopubs.org/doi/10.1200/OA-24-00041
Unknown primary (e.g. CUP),Chemotherapy,ALK,ALK,Rearrangement,Response,"FISH, NGS",Medium,Receptor tyrosine kinase,ALK fusions predict response to ALK inhibitors,"TCGA, COSMIC",https://ascopubs.org/doi/10.1200/OA-24-00041
Unknown primary (e.g. CUP),Chemotherapy,IDH1,IDH1,Mutation,Non-response,"NGS, PCR",Medium,Enzyme,Mutations linked to resistance in some contexts,"TCGA, COSMIC",https://ascopubs.org/doi/10.1200/OA-24-00041
Unknown primary (e.g. CUP),Chemotherapy,FGFR2,FGFR2,Amplification,Response,"FISH, NGS",Medium,Receptor tyrosine kinase,FGFR2 alterations predict response to FGFR inhibitors,"TCGA, COSMIC",https://ascopubs.org/doi/10.1200/OA-24-00041
Unknown primary (e.g. CUP),Chemotherapy,EGFR,EGFR,Mutation,Response,"NGS, PCR",Medium,Receptor tyrosine kinase,EGFR mutations predict response to EGFR inhibitors,"TCGA, COSMIC",https://ascopubs.org/doi/10.1200/OA-24-00041
Bladder Urothelial,Anti-PD-1,LAG-3,LAG3,Expression,Non-response,"IHC, RNA-seq",Low,Immune checkpoint receptor,"Marker of T-cell exhaustion, associated with resistance","TCGA, COSMIC",https://jitc.bmj.com/content/5/1/94
Bladder Urothelial,Anti-PD-1,TIM-3,HAVCR2,Expression,Non-response,"IHC, RNA-seq",Low,Immune checkpoint receptor,"T-cell exhaustion marker, linked to resistance","TCGA, COSMIC",https://jitc.bmj.com/content/5/1/94
Bladder Urothelial,Anti-PD-1,CTLA-4,CTLA4,Expression,Non-response,"IHC, RNA-seq",Low,Immune checkpoint receptor,Negative regulator of T-cell activation,"TCGA, COSMIC",https://jitc.bmj.com/content/5/1/94
Bladder Urothelial,Anti-PD-1,STK11/LKB1 Mutation,STK11,Mutation,Non-response,"NGS, PCR",Low,Kinase,"Tumor suppressor, loss linked to immune evasion","TCGA, COSMIC",https://jitc.bmj.com/content/5/1/94
Bladder Urothelial,Anti-PD-1,C-reactive protein (CRP),CRP,Expression,Non-response,"ELISA, blood test",Low,Acute phase protein,"High levels linked to systemic inflammation, poor response",GEO,https://pmc.ncbi.nlm.nih.gov/articles/PMC10486227/
Bladder Urothelial,Immunotherapy,LAG3,LAG3,Expression,Non-response,"IHC, RNA-seq",Low,Immune checkpoint,"High expression may indicate T-cell exhaustion, reduced ICI efficacy","TCGA, GEO",https://jitc.bmj.com/content/5/1/94
Bladder Urothelial,Immunotherapy,CDKN2A deletion,CDKN2A,Deletion,Non-response,"NGS, PCR",Low,Tumor suppressor,Loss associated with immune evasion and poor ICI response,"TCGA, COSMIC",https://jitc.bmj.com/content/5/1/94
Bladder Urothelial,Immunotherapy,Circulating tumor DNA (ctDNA),Multiple,Somatic Mutations,Response/Non-response,"Liquid biopsy, NGS",Low,N/A (Genomic feature),ctDNA dynamics may reflect tumor burden and response to immunotherapy,"TCGA, GEO",https://pmc.ncbi.nlm.nih.gov/articles/PMC10486227/
Breast ER+/HER-,Aromatase inhibitor,S6K1 Amplification,RPS6KB1,Amplification,Non-response,"FISH, PCR",Low,Kinase,"Activates mTOR pathway, linked to resistance","TCGA, COSMIC",https://pmc.ncbi.nlm.nih.gov/articles/PMC7922594/
Breast ER+/HER-,Chemotherapy,FOXA1,FOXA1,Mutation,Response,Somatic mutation analysis,Low,Transcription factor,"Regulates ER function, mutations may affect response","TCGA, COSMIC",https://ascopubs.org/doi/10.1200/JCO.22.00069
Breast ER+/HER-,Chemotherapy,MDM2 Amplification,MDM2,Amplification,Non-response,"FISH, PCR",Low,E3 ubiquitin ligase,"Inhibits p53, amplification linked to resistance","TCGA, COSMIC",https://ascopubs.org/doi/10.1200/JCO.22.00069
Breast ER+/HER-,Hormonal therapy,AR (Androgen Receptor),AR,Expression,Response/Non-response,"IHC, RNA-seq",Low,Nuclear receptor,May modulate ER signaling; role in response is context-dependent,"TCGA, GEO",https://pmc.ncbi.nlm.nih.gov/articles/PMC7922594/
Breast ER+/HER-,Hormonal therapy,MDM2,MDM2,Amplification,Non-response,"FISH, NGS",Low,E3 ubiquitin ligase,"Amplification can inhibit p53, contributing to resistance","TCGA, COSMIC",https://www.jcancer.org/v07p1281.htm
Breast ER+/HER-,Hormonal therapy,AR (Androgen R.),AR,Expression,Response,"IHC, RNA-seq",Low,Nuclear receptor,Expression may predict response in some ER+ tumors,"TCGA, GEO",https://pmc.ncbi.nlm.nih.gov/articles/PMC7922594/
Breast ER+/HER-,Hormonal therapy,MDM2,MDM2,Amplification,Non-response,"FISH, PCR",Low,E3 ubiquitin ligase,Amplification may drive resistance via p53 pathway,"TCGA, COSMIC",https://www.jcancer.org/v07p1281.htm
Breast Triple Negative,Chemotherapy,AR,AR,Overexpression,Non-response,"IHC, PCR",Low,Nuclear receptor,Androgen receptor expression linked to chemo resistance in some TNBC subtypes,"TCGA, GEO",https://pmc.ncbi.nlm.nih.gov/articles/PMC4675910/
Breast Triple Negative,Chemotherapy,C-kit,KIT,Overexpression,Non-response,"IHC, PCR",Low,Receptor tyrosine kinase,Overexpression associated with poor prognosis and chemo resistance,"TCGA, GEO",https://pmc.ncbi.nlm.nih.gov/articles/PMC4675910/
Colon,Chemotherapy,APC,APC,Mutation,Non-response,"Somatic mutation (PCR, NGS)",Low,Tumor suppressor,Loss of function may affect chemotherapy response,"TCGA, COSMIC",https://www.mdpi.com/2072-6694/16/16/2796
Colon,Chemotherapy,SMAD4,SMAD4,Mutation/Deletion,Non-response,"Somatic mutation (PCR, NGS)",Low,Transcription factor,Loss linked to poor prognosis and therapy resistance,"TCGA, COSMIC",https://www.mdpi.com/2072-6694/16/16/2796
Colon,Chemotherapy,TGFBR2 mutation,TGFBR2,Mutation,Non-response,"PCR, NGS",Low,Receptor kinase,"Disrupts TGF-beta signaling, associated with chemoresistance","TCGA, COSMIC",https://www.mdpi.com/2072-6694/16/16/2796
Colon,Chemotherapy,SMAD4 mutation,SMAD4,Mutation,Non-response,"PCR, NGS",Low,Transcription factor,"Disrupts TGF-beta signaling, linked to chemoresistance","TCGA, COSMIC",https://www.mdpi.com/2072-6694/16/16/2796
Colon,Chemotherapy,ERCC1 expression,ERCC1,Overexpression,Non-response,"IHC, qPCR",Low,DNA repair enzyme,High expression linked to resistance to platinum-based chemotherapy,"TCGA, GEO",https://www.mdpi.com/2072-6694/16/16/2796
Gastroesophageal,Chemotherapy,Topoisomerase I,TOP1,Overexpression,Response,"IHC, qPCR",Low,Enzyme,High TOP1 expression may predict response to irinotecan[2].,"TCGA, GEO",https://pmc.ncbi.nlm.nih.gov/articles/PMC10380533/
Gastroesophageal,Chemotherapy,NTRK Fusions,NTRK1/2/3,Fusion,Response,"NGS, FISH",Low,Receptor tyrosine kinase,NTRK fusions predict response to TRK inhibitors[1].,"TCGA, COSMIC",https://pmc.ncbi.nlm.nih.gov/articles/PMC7530320/
Gastroesophageal,Chemotherapy,RRM1,RRM1,Overexpression,Non-response,"IHC, qPCR",Low,Enzyme,High RRM1 expression linked to resistance to gemcitabine[2].,"TCGA, GEO",https://pmc.ncbi.nlm.nih.gov/articles/PMC10380533/
Kidney,Multikinase inhibitor,SETD2,SETD2,Mutation,Non-response,Somatic mutation analysis (NGS),Low,Histone methyltransferase,Loss linked to poor prognosis and resistance to therapy,"TCGA, COSMIC",https://ascopubs.org/doi/10.1200/EDBK_430734
Kidney,Multikinase inhibitor,TERT,TERT,Promoter Mutation,Non-response,"PCR, NGS",Low,Reverse transcriptase,TERT promoter mutations associated with aggressive disease and poor response,"TCGA, COSMIC",https://ascopubs.org/doi/10.1200/EDBK_430734
Kidney,Multikinase inhibitor,TMB (Tumor Mutation Burden),Various,Mutation,Response,"NGS, WES",Low,N/A (aggregate),"High TMB may predict response to immunotherapy, less clear for TKIs","TCGA, COSMIC","https://pmc.ncbi.nlm.nih.gov/articles/PMC8566366/, https://ascopubs.org/doi/10.1200/EDBK_430734"
Kidney,Targeted therapy,TERT,TERT,Promoter mutation,Non-response,"PCR, NGS",Low,Enzyme (telomerase),"Promoter mutations linked to aggressive disease, poor response","TCGA, COSMIC",https://pmc.ncbi.nlm.nih.gov/articles/PMC10645469/
Kidney,Targeted therapy,miR-210,MIR210,Overexpression,Response/Non-response,"qRT-PCR, RNA-seq",Low,microRNA,"Hypoxia marker, may modulate therapy response",GEO,https://pmc.ncbi.nlm.nih.gov/articles/PMC10645469/
